DPU Throughput
timestamp,FPS

DDR Bandwidth
timestamp,DDRC_PORT_S1_Read,DDRC_PORT_S1_Write,DDRC_PORT_S2_Read,DDRC_PORT_S2_Write,DDRC_PORT_S3_Read,DDRC_PORT_S3_Write,DDRC_PORT_S4_Read,DDRC_PORT_S4_Write,DDRC_PORT_S5_Read,DDRC_PORT_S5_Write,
742404.36,30.8,0.97,28.3,13.4,0,0,0,0,0,0,
742384.34,0,0,0.01,0,0,0,0,0,0,0,
742364.32,2.47,0.06,2.14,0.87,0,0,0,0,0,0,
742344.31,0.13,0,0.32,0.13,0,0,0,0,0,0,
742324.29,0.01,0,0.01,0,0,0,0,0,0,0,
742304.28,0.05,0,0.03,0.04,0,0,0,0,0,0,
742284.26,0,0,0,0,0,0,0,0,0,0,
742264.24,0,0,0.02,0,0,0,0,0,0,0,
742244.23,0.1,0.01,0.18,0.15,0,0,0,0,0,0,
742224.21,0.01,0,0,0.01,0,0,0,0,0,0,
742204.19,0.15,0.01,0.14,0.19,0,0,0,0,0,0,
742184.17,0.19,0.01,0.2,0.12,0,0,0,0,0,0,
742164.16,0.03,0.02,0.05,0.12,0,0,0,0,0,0,
742144.14,3.84,0.1,3.42,1.54,0,0,0,0,0,0,
742124.12,1.66,0.06,1.45,0.73,0,0,0,0,0,0,
742104.10,1.08,0.03,0.89,0.38,0,0,0,0,0,0,
742084.08,0.85,0.04,0.87,0.43,0,0,0,0,0,0,
742064.01,118.04,3.68,112.8,53.7,0,0,0,0,0,0,
742043.98,19.89,4.86,20.66,26.2,0,0,0,0,0,0,
742023.96,3.08,4.49,2.91,19.11,0,0,0,0,0,0,
742003.94,2.25,4.84,2.04,20.06,0,0,0,0,0,0,
741983.92,2.64,4.89,2.89,21.21,0,0,0,0,0,0,
741963.90,1.95,1.63,1.38,7.73,0,0,0,0,0,0,
741943.88,0.23,0.01,0.61,0.19,0,0,0,0,0,0,
741923.86,24.83,0.58,24.34,9.23,0,0,0,0,0,0,
741903.84,0.18,0,0.13,0.02,0,0,0,0,0,0,
741883.82,0.63,0.02,0.37,0.13,0,0,0,0,0,0,
741863.80,22.46,0.54,21.77,9.13,0,0,0,0,0,0,
741843.78,0.43,0.03,0.69,0.31,0,0,0,0,0,0,
741823.76,9.36,0.34,9.86,5.5,0,0,0,0,0,0,
741803.73,24.44,1.16,22.71,18.3,0,0,0,0,0,0,
741783.63,154.17,6,156.3,96.44,0,0,0,0,0,0,
741763.58,145.61,5.32,151.49,87.13,200.16,12.25,173.4,0,0,0,
741743.56,29.01,0.17,23.22,2.19,1274.12,151.93,987.68,57.42,0,0,
741723.54,36.52,1.81,36.98,18.97,671.59,347.27,443.36,258.06,0,0,
741703.52,15.55,5.32,15.86,25.94,0,0,0,0,0,0,
741683.50,16.9,4.3,17.88,24.07,0,0,0,0,0,0,
741663.48,9.03,0.4,8.97,3.83,0,0,0,0,0,0,
741643.46,1.01,0.02,0.71,0.23,0,0,0,0,0,0,
741623.44,6.73,0.26,8.25,3.07,0,0,0,0,0,0,
741603.43,0,0,0,0,0,0,0,0,0,0,
741583.41,0.02,0,0,0.01,0,0,0,0,0,0,
741563.39,0,0,1.57,0,0,0,0,0,0,0,
741543.38,0,0,0,0.01,0,0,0,0,0,0,
741523.36,1.62,0.01,4.83,0.12,0,0,0,0,0,0,
741503.33,1.56,0,4.71,0,0,0,0,0,0,0,
741483.31,6.26,0,0.02,0.04,0,0,0,0,0,0,
741463.29,0.01,0,0,0,0,0,0,0,0,0,
741443.28,3.13,0,3.14,0,0,0,0,0,0,0,
741423.26,1.73,0.02,4.72,0.22,0,0,0,0,0,0,
741403.24,5.08,0.06,7.71,0.71,0,0,0,0,0,0,
741383.22,1.57,0,4.7,0.01,0,0,0,0,0,0,
741363.20,7.12,0.03,3.82,0.49,0,0,0,0,0,0,
741343.19,0,0,0,0,0,0,0,0,0,0,
741323.17,1.6,0.01,4.76,0.08,0,0,0,0,0,0,
741303.15,8.37,0.06,6.21,0.83,0,0,0,0,0,0,
741283.13,1.56,0,1.6,0,0,0,0,0,0,0,
741263.12,4.73,0,1.58,0,0,0,0,0,0,0,
741243.10,3.12,0,3.14,0,0,0,0,0,0,0,
741223.08,0.12,0,0.01,0,0,0,0,0,0,0,
741203.07,3.12,0,3.14,0,0,0,0,0,0,0,
741183.05,3.31,0,3.31,0.01,0,0,0,0,0,0,
741163.03,3.19,0.01,3.23,0.05,0,0,0,0,0,0,
741143.01,6.9,0.02,6.48,0.09,0,0,0,0,0,0,
741122.99,8.07,0.01,1.68,0.04,0,0,0,0,0,0,
741102.98,0.02,0,0.07,0,0,0,0,0,0,0,
741082.96,1.71,0,4.71,0,0,0,0,0,0,0,
741062.94,4.83,0,1.67,0,0,0,0,0,0,0,
741042.93,1.56,0,4.71,0,0,0,0,0,0,0,
741022.91,3.12,0,3.17,0,0,0,0,0,0,0,
741002.89,3.3,0,3.56,0,0,0,0,0,0,0,
740982.88,0,0,0.01,0,0,0,0,0,0,0,
740962.86,0.04,0,6.28,0,0,0,0,0,0,0,
740942.84,3.12,0,3.14,0,0,0,0,0,0,0,
740922.83,1.56,0,4.71,0,0,0,0,0,0,0,
740902.81,4.72,0,1.64,0,0,0,0,0,0,0,
740882.79,1.56,0,4.71,0,0,0,0,0,0,0,
740862.77,0.01,0,0.11,0,0,0,0,0,0,0,
740842.76,4.75,0,1.67,0,0,0,0,0,0,0,
740822.74,2.42,0,5.8,0.03,0,0,0,0,0,0,
740802.72,1.62,0,4.94,0,0,0,0,0,0,0,
740782.71,4.72,0,1.7,0,0,0,0,0,0,0,
740762.69,3.49,0,3.31,0,0,0,0,0,0,0,
740742.67,4.91,0,3.44,0,0,0,0,0,0,0,
740722.65,29.17,0,26.18,0,0,0,0,0,0,0,
740702.58,128.31,4.77,131.85,74.2,0,0,0,0,0,0,
740682.54,370.37,32.98,374.01,526.19,0,0,0,0,0,0,
740662.43,728.31,45.01,728.38,720.16,0,0,0,0,0,0,
740642.33,217.5,92.52,223.36,1480.04,0,0,0,0,0,0,
740622.25,108.38,77.35,107.14,1235.21,0,0,0,0,0,0,
740602.17,698.03,43.4,699.24,693.29,0,0,0,0,0,0,
740582.10,595.85,44.65,595.48,716.13,0,0,0,0,0,0,
740562.00,395.4,44.16,393.52,708.72,0,0,0,0,0,0,
740541.89,394.49,44.03,393.44,704.47,0,0,0,0,0,0,
740521.79,375.85,42.31,376.94,674.4,0,0,0,0,0,0,
740501.66,402.52,45.34,405.33,727.38,0,0,0,0,0,0,
740481.50,413.3,46.39,415.8,742.98,0,0,0,0,0,0,
740461.45,560.63,42.13,562.5,682.09,0,0,0,0,0,0,
740441.40,54.27,2.71,57.18,44.93,0,0,0,0,0,0,
740421.37,68.98,6.73,70.37,94.18,0,0,0,0,0,0,
740401.31,62.53,5.57,64.03,85.11,0,0,0,0,0,0,
740381.29,3.94,0.32,4.84,5.92,0,0,0,0,0,0,
740361.27,7.1,0.33,6.11,4.49,0,0,0,0,0,0,
740341.25,2.75,0.27,2.88,4.83,0,0,0,0,0,0,
740321.23,4.16,0.25,3.94,3.38,0,0,0,0,0,0,
740301.22,4.57,0.37,4.39,6.33,0,0,0,0,0,0,
740281.20,7.18,0.7,9.33,12.96,0,0,0,0,0,0,
740261.18,2.9,0.15,2.25,1.92,0,0,0,0,0,0,
740241.17,4.05,0.37,4.45,6.82,0,0,0,0,0,0,
740221.15,7.43,0.5,7.02,8,0,0,0,0,0,0,
740201.13,1.99,0.08,1.97,1.4,0,0,0,0,0,0,
740181.11,6.45,0.44,6.32,7.01,0,0,0,0,0,0,
740161.09,3.31,0.13,2.84,2.04,0,0,0,0,0,0,
740141.07,11.32,0.79,10.25,11.93,0,0,0,0,0,0,
740121.05,13.52,0.87,13.64,14.47,0,0,0,0,0,0,
740101.04,1.98,0.11,2.1,1.92,0,0,0,0,0,0,
740081.02,2.89,0.26,2.04,3.81,0,0,0,0,0,0,
740061.00,4.58,0.37,3.67,4.81,0,0,0,0,0,0,
740040.98,4.91,0.4,4.94,5.87,0,0,0,0,0,0,
740020.96,4.57,0.37,5.2,6.1,0,0,0,0,0,0,
740000.95,5.69,0.44,5.74,7.53,0,0,0,0,0,0,
739980.93,0.45,0.03,0.87,0.47,0,0,0,0,0,0,
739960.91,6.32,0.41,5.58,7.02,0,0,0,0,0,0,
739940.89,4.55,0.35,3.97,4.53,0,0,0,0,0,0,
739920.87,12.93,0.85,12.53,11.47,0,0,0,0,0,0,
739900.85,1.84,0.09,1.87,1.31,0,0,0,0,0,0,
739880.84,10.53,1.09,10.58,18.14,0,0,0,0,0,0,
739860.81,7.4,0.54,7.43,8.49,0,0,0,0,0,0,
739840.77,88.32,4.45,86.25,68.15,0,0,0,0,0,0,
739820.70,476.53,42.06,476.55,675.75,0,0,0,0,0,0,
739800.66,25.39,1.42,24.54,21.82,0,0,0,0,0,0,
739780.64,4.1,0.33,4.23,5.41,0,0,0,0,0,0,
739760.62,4.32,0.37,4.06,5.69,0,0,0,0,0,0,
739740.61,4.05,0.32,4.21,5.57,0,0,0,0,0,0,
739720.59,4.16,0.34,4.25,5.21,0,0,0,0,0,0,
