DPU Throughput
timestamp,FPS

DDR Bandwidth
timestamp,DDRC_PORT_S1_Read,DDRC_PORT_S1_Write,DDRC_PORT_S2_Read,DDRC_PORT_S2_Write,DDRC_PORT_S3_Read,DDRC_PORT_S3_Write,DDRC_PORT_S4_Read,DDRC_PORT_S4_Write,DDRC_PORT_S5_Read,DDRC_PORT_S5_Write,
825780.83,110.82,8.02,100.18,64.78,0,0,0,0,0,0,
825760.77,173.72,6.7,158.51,98.85,0,0,0,0,0,0,
825740.70,177.22,3.9,167.57,56.95,0,0,502.21,226.67,505.85,226.44,
825720.62,172.82,5.31,169.72,85.48,0,0,671.81,355.18,672.73,354.95,
825700.44,139.39,2.82,136,44.6,0,0,718.1,377.28,716.95,377.04,
825680.32,108.61,2.81,103.8,43.92,0,0,725.5,392.25,723.22,392.02,
825660.20,95.04,3.57,95.23,55.64,0,0,709.27,375.05,713.94,374.81,
825639.84,81.5,2.13,81.41,33.12,0,0,744.29,391.71,736.17,391.48,
825619.41,66.07,2.3,67.01,37.7,0,0,723.71,384.19,728.96,383.95,
825599.35,36.7,1.28,36.78,21.36,0,0,744.41,402.49,750.47,402.23,
825579.33,34.18,0.95,34.05,14.85,0,0,738.87,368.67,752.47,368.36,
825559.31,35.17,1.02,34.84,15.37,0,0,733.9,368.68,736.45,368.36,
825539.29,33.23,0.88,32.41,13.57,0,0,737.23,372.93,732.57,372.64,
825519.27,34.82,1.09,32.92,16.19,0,0,709.32,368.6,713.22,368.36,
825499.25,34.42,1.05,33,16.57,0,0,757.5,382.86,762.73,382.62,
825479.20,34.4,1.22,35.19,21.82,0,0,733.24,409.87,734.16,409.63,
825459.18,31.15,1.05,31.15,15.97,0,0,771.45,401.45,770.68,401.21,
825438.89,30.29,0.84,29.98,13.21,0,0,745.81,401.92,744.73,401.72,
825418.83,33.08,1.15,33.26,18.61,0,0,745.77,404.9,757.13,404.58,
825398.79,29.22,0.77,29.62,12.82,0,0,779.66,417.27,784.32,417.06,
825378.72,36.72,1.23,35.62,18.49,0,0,772.4,418.04,768.67,417.8,
825358.69,36.93,1.5,34.65,24.2,0,0,764.41,416.44,771.6,416.22,
825338.65,40.48,1.55,38.92,24.49,0,0,744.29,405.7,751.56,405.46,
825318.62,35.07,0.89,35.07,14.13,0,0,741.22,368.67,748.91,368.36,
825298.59,35.92,1.13,36.31,17.92,0,0,723.24,368.67,746.77,368.36,
825278.57,36.29,1.01,37.09,16.57,0,0,735.73,368.67,730.64,368.36,
825258.53,35.22,1.04,33.55,15.92,0,0,713.57,372.87,715.49,372.64,
825238.51,33.8,0.96,32.18,14.98,0,0,746.35,377.23,750.68,376.99,
825218.46,34.96,1.13,32.87,17.33,0,0,743.98,412.82,746.73,412.55,
825198.44,30.17,0.91,29.89,13.85,0,0,772.34,401.07,762.98,400.84,
825178.20,34.15,1.12,34.28,19.17,0,0,731.46,401.63,739.61,401.41,
825158.04,29.64,0.94,29.47,14.65,0,0,758.52,407.95,754.72,407.72,
825138.00,30.82,0.87,30.91,13.79,0,0,780.37,416.92,781.17,416.69,
825117.98,34.52,1.17,34.99,18.57,0,0,776.43,418.33,766.84,418.09,
825097.94,36.83,1.45,35.93,23.28,0,0,765.83,416.28,769.16,416.03,
825077.87,41.05,1.53,37.36,23.15,0,0,746.58,407.05,755.16,406.79,
825057.85,38.87,1.2,37.67,18.78,0,0,741.99,368.67,746.01,368.36,
825037.83,35.37,1.05,34.56,17.04,0,0,736.25,368.67,734.59,368.36,
825017.81,34.79,0.97,34.38,16.05,0,0,733.41,368.66,733.16,368.36,
824997.78,32.15,1.06,31.59,15.91,0,0,712.53,372.87,723.37,372.64,
824977.76,32.84,0.98,32.9,16.06,0,0,744.34,375.35,744.68,375.12,
824957.73,30.87,0.92,29.94,14.62,0,0,753.49,415.12,746.99,414.89,
