DPU Throughput
timestamp,FPS

DDR Bandwidth
timestamp,DDRC_PORT_S1_Read,DDRC_PORT_S1_Write,DDRC_PORT_S2_Read,DDRC_PORT_S2_Write,DDRC_PORT_S3_Read,DDRC_PORT_S3_Write,DDRC_PORT_S4_Read,DDRC_PORT_S4_Write,DDRC_PORT_S5_Read,DDRC_PORT_S5_Write,
315916.37,15.67,0.25,14.41,3.24,0,0,0,0,0,0,
315896.35,0,0,0,0,0,0,0,0,0,0,
315876.33,0.01,0,0.02,0.03,0,0,0,0,0,0,
315856.32,1.36,0.02,1.25,0.3,0,0,0,0,0,0,
315836.30,0,0,0,0,0,0,0,0,0,0,
315816.28,1.5,0.03,1.27,0.45,0,0,0,0,0,0,
315796.26,5.13,0.06,3.67,0.7,0,0,0,0,0,0,
315776.24,2.13,0.02,2.2,0.38,0,0,0,0,0,0,
315756.23,0.01,0,0.01,0.01,0,0,0,0,0,0,
315736.21,0,0,0,0.01,0,0,0,0,0,0,
315716.19,0,0,0,0.01,0,0,0,0,0,0,
315696.17,0.06,0,0.01,0,0,0,0,0,0,0,
315676.15,0.01,0,0.03,0,0,0,0,0,0,0,
315656.14,0.01,0,0,0,0,0,0,0,0,0,
315636.12,0,0,0.04,0,0,0,0,0,0,0,
315616.10,0.04,0,0,0.01,0,0,0,0,0,0,
315596.09,0.06,0,0.02,0.03,0,0,0,0,0,0,
315576.07,0,0,0,0,0,0,0,0,0,0,
315556.05,0.01,0,0.03,0.01,0,0,0,0,0,0,
315536.03,0.04,0,0.01,0.04,0,0,0,0,0,0,
315516.02,0.09,0,0.03,0.03,0,0,0,0,0,0,
315495.99,0.99,0.01,0.9,0.12,0,0,0,0,0,0,
315475.98,0.01,0,0.03,0.01,0,0,0,0,0,0,
315455.96,0.11,0,0.03,0.01,0,0,0,0,0,0,
315435.94,0.45,0,0.3,0.07,0,0,0,0,0,0,
315415.93,0.06,0,0.08,0.04,0,0,0,0,0,0,
315395.91,0.22,0,0.15,0.12,0,0,0,0,0,0,
315375.89,0,0,0,0,0,0,0,0,0,0,
315355.87,0.12,0.01,0.04,0.15,0,0,0,0,0,0,
315335.85,2.37,0.04,1.11,0.44,0,0,0,0,0,0,
315315.84,0.08,0.01,0.03,0.09,0,0,0,0,0,0,
315295.82,14.66,0.35,12.15,4.67,0,0,0,0,0,0,
315275.79,3.68,0.09,3.54,1.45,0,0,0,0,0,0,
315255.78,0.61,0.02,0.47,0.25,0,0,0,0,0,0,
315235.76,1.69,0.06,2.42,1.54,0,0,0,0,0,0,
315215.72,101.41,3.74,103.86,56.21,0,0,0,0,0,0,
315195.63,139.78,5.22,144.48,86.3,0,0,0,0,0,0,
315175.56,105.76,5.13,103.16,55.76,0,0,0,0,0,0,
315155.54,5.06,5.24,4.97,21.93,0,0,0,0,0,0,
315135.52,5.23,5.25,4.3,22.09,0,0,0,0,0,0,
315115.50,2.61,4.82,2.37,20.2,0,0,0,0,0,0,
315095.48,1.92,5.27,1.31,21.79,0,0,0,0,0,0,
315075.46,4.74,4.71,5.53,20.36,0,0,0,0,0,0,
315055.44,2.09,5.08,2.48,21.26,0,0,0,0,0,0,
315035.42,1.51,5.47,1.39,22.22,0,0,0,0,0,0,
315015.40,2.3,5.1,2.73,22.51,0,0,0,0,0,0,
314995.38,7.88,0.17,6.52,2.33,0,0,0,0,0,0,
314975.37,0.16,0.01,0.1,0.13,0,0,0,0,0,0,
314955.35,1.75,0.05,1.49,0.69,0,0,0,0,0,0,
314935.33,0.62,0.01,0.38,0.16,0,0,0,0,0,0,
314915.31,4.4,0.1,4.63,1.85,0,0,0,0,0,0,
314895.30,0.03,0,0.08,0.03,0,0,0,0,0,0,
314875.28,1.98,0.05,1.58,0.83,0,0,0,0,0,0,
314855.24,42.85,0.89,44.25,15.23,0,0,0,0,0,0,
314835.23,1.18,0.03,0.64,0.21,0,0,0,0,0,0,
314815.21,0.07,0.01,0.12,0.23,0,0,0,0,0,0,
314795.19,0.39,0.01,0.26,0.2,0,0,0,0,0,0,
314775.16,4.53,0.1,6,1.12,0,0,0,0,0,0,
314755.13,0.01,0,0.02,0.04,0,0,0,0,0,0,
314735.12,0.21,0,0.11,0.04,0,0,0,0,0,0,
314715.10,0.18,0.01,0.22,0.14,0,0,0,0,0,0,
314695.08,0.09,0,0.05,0.01,0,0,0,0,0,0,
314675.06,20.46,0.6,19.1,8.35,0,0,0,0,0,0,
314655.04,0.12,0.01,0.19,0.17,0,0,0,0,0,0,
314635.03,0.44,0.01,0.35,0.2,0,0,0,0,0,0,
314615.01,0.56,0.02,0.86,0.58,0,0,0,0,0,0,
314594.99,0.5,0.03,0.55,0.47,0,0,0,0,0,0,
314574.96,140.8,5.51,150.07,91.51,0,0,0,0,0,0,
314554.92,181.84,7.64,186.39,125.5,0,0,0,0,0,0,
314534.84,195.04,6.36,205.85,110.79,0,0,0,0,0,0,
314514.73,287.88,4.16,318.05,72.43,0,0,0,0,0,0,
314494.67,322.18,5.47,339.78,92.03,0,0,0,0,0,0,
314474.60,300.93,8.53,320.67,148.18,0,0,0,0,0,0,
314454.55,197,7.68,206.46,130.89,0,0,0,0,0,0,
314434.48,329.82,0.65,349.85,8.7,0,0,0,0,0,0,
314414.42,286.81,3.88,314.37,70.63,0,0,0,0,0,0,
314394.32,304.92,6.42,311.34,107.11,0,0,0,0,0,0,
314374.25,304.93,7.46,318.86,127.49,0,0,0,0,0,0,
314354.21,377.22,1.28,402.92,20.13,0,0,0,0,0,0,
314334.11,284.8,3.87,296.11,67.69,0,0,0,0,0,0,
314314.04,292.99,4.21,304.53,70.55,0,0,0,0,0,0,
314293.97,275.35,10.61,288.6,175.06,0,0,0,0,0,0,
314273.87,261.52,8.9,253,133.52,0,0,0,0,0,0,
314253.81,320.67,12.58,309.56,184.45,0,0,0,0,0,0,
314233.71,407.48,33.67,413.41,519.75,0,0,0,0,0,0,
314213.60,624.5,63.34,646.94,1009.39,0,0,0,0,0,0,
314193.45,595.55,59.9,604.62,951.38,0,0,0,0,0,0,
314173.38,579.35,56.85,602.73,909.54,0,0,0,0,0,0,
314153.31,580.79,59.4,597.04,946.95,0,0,0,0,0,0,
314133.22,589.38,58.01,598.52,924.72,0,0,0,0,0,0,
314113.06,579.97,58.77,595.39,941.44,0,0,0,0,0,0,
314092.91,582.97,61.14,591.67,975.61,0,0,0,0,0,0,
314072.78,579.64,58.41,590.33,933.78,0,0,0,0,0,0,
314052.67,565.95,56.79,582.98,911.01,0,0,0,0,0,0,
314032.58,572.5,58.07,583.26,929.28,0,0,0,0,0,0,
314012.51,586.9,58.05,603.68,932.57,0,0,0,0,0,0,
313992.42,557.31,57.16,587,919.5,0,0,0,0,0,0,
313972.29,592.56,59.52,614.46,955.1,0,0,0,0,0,0,
313952.22,351.75,47.93,364.74,764.39,0,0,0,0,0,0,
313932.11,596.82,60.29,610.62,962.63,0,0,0,0,0,0,
313912.00,589.69,58.22,596.74,931.47,0,0,0,0,0,0,
313891.92,611.14,61.69,621.15,988.52,0,0,0,0,0,0,
313871.79,578.11,56.88,590.87,907.94,0,0,0,0,0,0,
313851.70,606.46,59.71,629.07,959.65,0,0,0,0,0,0,
313831.63,556.19,57.01,577.63,913.93,0,0,0,0,0,0,
313811.54,578.82,56.69,584.31,904.96,0,0,0,0,0,0,
313791.44,619.47,61.63,633.21,985.65,0,0,0,0,0,0,
313771.37,592.64,58.88,606.15,939.69,0,0,0,0,0,0,
313751.25,596.72,59.06,600.81,943.55,0,0,0,0,0,0,
313731.15,579.02,58.26,586.82,929.3,0,0,0,0,0,0,
313711.03,596.54,59.81,612.67,955.9,0,0,0,0,0,0,
313690.94,603.97,61.76,610.02,985.57,0,0,0,0,0,0,
313670.87,560.15,59.19,579.55,941.94,0,0,0,0,0,0,
313650.76,568.29,57.52,579.6,917.62,0,0,0,0,0,0,
313630.64,576.86,59.32,587.64,947.2,0,0,0,0,0,0,
313610.57,618.6,60.04,618.04,955.64,0,0,0,0,0,0,
313590.49,593.96,56.89,602.91,910.18,0,0,0,0,0,0,
313570.39,554.44,57.25,559.1,910.76,0,0,0,0,0,0,
313550.31,552.34,57.12,559.97,904.17,0,0,0,0,0,0,
313530.18,613.82,58.55,613.96,934.23,0,0,0,0,0,0,
313510.09,595.32,61.54,618.18,982.61,0,0,0,0,0,0,
313490.02,585.99,57.05,593.84,910.45,0,0,0,0,0,0,
313469.94,583.65,59.92,591.02,956.92,0,0,0,0,0,0,
313449.86,580.32,59.09,588.18,941.01,0,0,0,0,0,0,
313429.76,558.53,58.18,569.91,926.54,0,0,0,0,0,0,
313409.66,581.5,57.52,590.46,918.19,0,0,0,0,0,0,
313389.57,591.15,59.7,604.09,951.74,0,0,0,0,0,0,
313369.49,580.94,57.44,591.01,917.85,0,0,0,0,0,0,
313349.35,510.28,55.03,526.31,880.35,0,0,0,0,0,0,
313329.24,583.94,59.75,583.59,954.93,0,0,0,0,0,0,
313308.93,533.85,45.73,522.98,728.45,0,0,0,0,0,0,
313288.86,443.15,36.95,412.65,563.48,0,0,0,0,0,0,
313268.75,77.07,4.79,71.06,70.71,0,0,0,0,0,0,
313248.73,0,0,0.01,0.04,0,0,0,0,0,0,
313228.71,0,0,0,0,0,0,0,0,0,0,
313208.69,5.63,0.07,5.01,0.83,0,0,0,0,0,0,
313188.68,0,0,0,0.01,0,0,0,0,0,0,
313168.66,0.03,0,0.04,0.03,0,0,0,0,0,0,
313148.64,2.51,0.02,2.18,0.25,0,0,0,0,0,0,
313128.63,18.32,0,14.85,0,0,0,0,0,0,0,
313108.61,0,0,0.06,0.02,0,0,0,0,0,0,
313088.59,8.23,0,4.92,0,0,0,0,0,0,0,
313068.57,9.98,0,9.85,0.04,0,0,0,0,0,0,
313048.55,0.01,0,0.09,0.05,0,0,0,0,0,0,
313028.52,19.75,0,13.11,0.01,0,0,0,0,0,0,
