Profile Summary
Generated on: 2018-03-09 13:28:29
XRT build version: 0.0.0
Build version branch: N/A
Build version hash: N/A
Build version date: N/A
Target devices: N/A

DPU Summary
Kernel Name,Number Of Runs,CU Full Name,Minimum Time (ms),Average Time (ms),Maximum Time (ms),Workload(GOP),DPU Performance(GOP/s),Mem IO(MB),Mem Bandwidth(MB/s),
subgraph_conv1,1,DPUCZDX8G_1:batch-1,0.992,0.992,0.992,0.239,240.562,0.707,730.185,
subgraph_res2a_branch2a,1,DPUCZDX8G_1:batch-1,0.302,0.302,0.302,0.026,85.731,0.387,1311.465,
subgraph_res2a_branch2b,1,DPUCZDX8G_1:batch-1,0.738,0.738,0.738,0.231,313.566,0.418,580.030,
subgraph_res2a_branch2c,1,DPUCZDX8G_1:batch-1,0.708,0.708,0.708,0.104,146.276,0.973,1407.133,
subgraph_res2a,1,DPUCZDX8G_1:batch-1,1.416,1.416,1.416,0.105,74.272,1.739,1257.239,
subgraph_res2b_branch2a,1,DPUCZDX8G_1:batch-1,0.628,0.628,0.628,0.103,163.951,0.973,1586.087,
subgraph_res2b_branch2b,1,DPUCZDX8G_1:batch-1,0.738,0.738,0.738,0.231,313.566,0.418,580.030,
subgraph_res2b,1,DPUCZDX8G_1:batch-1,1.281,1.281,1.281,0.105,82.099,1.739,1389.735,
subgraph_res2c_branch2a,1,DPUCZDX8G_1:batch-1,0.626,0.626,0.626,0.103,164.475,0.973,1591.154,
subgraph_res2c_branch2b_bias,1,DPUCZDX8G_1:batch-1,0.314,0.314,0.314,0.058,184.245,0.278,906.250,
subgraph_res2b_downsample_bp_by_fake_downsample_0,1,DPUCZDX8G_1:batch-1,0.451,0.451,0.451,0.026,58.298,0.447,1013.858,
subgraph_res3a_branch2a,1,DPUCZDX8G_1:batch-1,0.315,0.315,0.315,0.051,163.430,0.318,1035.317,
subgraph_res3a_branch2b,1,DPUCZDX8G_1:batch-1,0.783,0.783,0.783,0.231,295.417,0.332,434.387,
subgraph_res3a_branch2c,1,DPUCZDX8G_1:batch-1,0.519,0.519,0.519,0.103,198.770,0.542,1068.401,
subgraph_res3a,1,DPUCZDX8G_1:batch-1,1.186,1.186,1.186,0.207,174.304,1.083,934.654,
subgraph_res3b_branch2a,1,DPUCZDX8G_1:batch-1,0.463,0.463,0.463,0.103,222.162,0.541,1196.814,
subgraph_res3b_branch2b,1,DPUCZDX8G_1:batch-1,0.784,0.784,0.784,0.231,295.040,0.332,433.833,
subgraph_res3b,1,DPUCZDX8G_1:batch-1,0.879,0.879,0.879,0.104,118.276,0.924,1076.792,
subgraph_res3c_branch2a,1,DPUCZDX8G_1:batch-1,0.462,0.462,0.462,0.103,222.642,0.541,1199.405,
subgraph_res3c_branch2b,1,DPUCZDX8G_1:batch-1,0.782,0.782,0.782,0.231,295.795,0.332,434.942,
subgraph_res3c,1,DPUCZDX8G_1:batch-1,0.876,0.876,0.876,0.104,118.681,0.924,1080.479,
subgraph_res3d_branch2a,1,DPUCZDX8G_1:batch-1,0.461,0.461,0.461,0.103,223.125,0.541,1202.007,
subgraph_res3d_branch2b_bias,1,DPUCZDX8G_1:batch-1,0.295,0.295,0.295,0.058,196.027,0.260,903.814,
subgraph_res3c_downsample_bp_by_fake_downsample_1,1,DPUCZDX8G_1:batch-1,0.439,0.439,0.439,0.026,59.205,0.278,649.203,
subgraph_res4a_branch2a,1,DPUCZDX8G_1:batch-1,0.306,0.306,0.306,0.051,168.073,0.269,899.510,
subgraph_res4a_branch2b,1,DPUCZDX8G_1:batch-1,0.744,0.744,0.744,0.231,310.835,0.658,906.250,
subgraph_res4a_branch2c,1,DPUCZDX8G_1:batch-1,0.643,0.643,0.643,0.103,160.126,0.490,780.715,
subgraph_res4a,1,DPUCZDX8G_1:batch-1,1.023,1.023,1.023,0.206,201.489,0.979,980.450,
subgraph_res4b_branch2a,1,DPUCZDX8G_1:batch-1,0.499,0.499,0.499,0.103,206.033,0.490,1004.509,
subgraph_res4b_branch2b,1,DPUCZDX8G_1:batch-1,0.744,0.744,0.744,0.231,310.835,0.658,906.250,
subgraph_res4b,1,DPUCZDX8G_1:batch-1,0.774,0.774,0.774,0.103,133.543,0.682,901.809,
subgraph_res4c_branch2a,1,DPUCZDX8G_1:batch-1,0.495,0.495,0.495,0.103,207.698,0.490,1012.626,
subgraph_res4c_branch2b,1,DPUCZDX8G_1:batch-1,0.745,0.745,0.745,0.231,310.418,0.658,905.034,
subgraph_res4c,1,DPUCZDX8G_1:batch-1,0.767,0.767,0.767,0.103,134.762,0.682,910.039,
subgraph_res4d_branch2a,1,DPUCZDX8G_1:batch-1,0.500,0.500,0.500,0.103,205.621,0.490,1002.500,
subgraph_res4d_branch2b,1,DPUCZDX8G_1:batch-1,0.745,0.745,0.745,0.231,310.418,0.658,905.034,
subgraph_res4d,1,DPUCZDX8G_1:batch-1,0.764,0.764,0.764,0.103,135.291,0.682,913.613,
subgraph_res4e_branch2a,1,DPUCZDX8G_1:batch-1,0.492,0.492,0.492,0.103,208.965,0.490,1018.801,
subgraph_res4e_branch2b,1,DPUCZDX8G_1:batch-1,0.754,0.754,0.754,0.231,306.712,0.658,894.231,
subgraph_res4e,1,DPUCZDX8G_1:batch-1,0.767,0.767,0.767,0.103,134.762,0.682,910.039,
subgraph_res4f_branch2a,1,DPUCZDX8G_1:batch-1,0.497,0.497,0.497,0.103,206.862,0.490,1008.551,
subgraph_res4f_branch2b_bias,1,DPUCZDX8G_1:batch-1,0.406,0.406,0.406,0.058,142.402,0.623,1570.197,
subgraph_res4e_downsample_bp_by_fake_downsample_2,1,DPUCZDX8G_1:batch-1,0.447,0.447,0.447,0.026,57.809,0.359,821.588,
subgraph_res5a_branch2a,1,DPUCZDX8G_1:batch-1,0.403,0.403,0.403,0.051,127.557,0.572,1454.094,
subgraph_res5a_branch2b,1,DPUCZDX8G_1:batch-1,1.292,1.292,1.292,0.231,178.975,2.298,1821.594,
subgraph_res5a_branch2c,1,DPUCZDX8G_1:batch-1,0.861,0.861,0.861,0.103,119.467,1.122,1333.914,
subgraph_res5a,1,DPUCZDX8G_1:batch-1,1.479,1.479,1.479,0.206,139.163,2.241,1551.724,
subgraph_res5b_branch2a,1,DPUCZDX8G_1:batch-1,0.684,0.684,0.684,0.103,150.271,1.120,1676.901,
subgraph_res5b_branch2b,1,DPUCZDX8G_1:batch-1,1.299,1.299,1.299,0.231,178.011,2.298,1811.778,
subgraph_res5b,1,DPUCZDX8G_1:batch-1,0.935,0.935,0.935,0.103,110.226,1.217,1333.155,
